agent,gender,age,status,origin
Arbitrator(s),male,mature/old,free,Athenian
The disputing parties,male,any adult age,free,Athenian
Eleans,male,any adult age,free,Elean
Other Greeks,male,any adult age,free,Greek
Athenians in the assembly,male,any adult age,free,Athenian
Aristippus,male,mature,free,Athenian
The Spartan garrison,male,any adult age,free,Spartan and Spartans of inferior status
Peace,female,mature,power-holder,n/a
Blepyrus,male,old,free,Athenian
Conspirators,male,any adult age,free,Samian
Other conspirators,male,any adult age,free,Samian
Cretan,male,old,free,Cretan
Eumaeus,male,mature,chattel-slave,n/a
Medea,female,mature,free,Colchian
Ariston,male,adolescent,free,Athenian
Alcibiades,male,adolescent,free,Athenian
Law-givers,male,old,free,Greek
Critobulus,male,mature,free,Athenian
Representatives of the other Greeks,male,mature/old,power-holder,various
Commanders,male,mature/old,power-holder,Syracusan
Theramenes,male,mature,free,Athenian
Hermes,male,child,power-holder,n/a
Trygaeus,male,mature,free,Athenian
Hera,female,mature,power-holder,n/a
Athena,female,mature,power-holder,n/a
Immortal gods,n/a,any adult age,power-holder,n/a
Immortal goddesses,female,any adult age,power-holder,n/a
Hippocrates,male,adolescent,free,Athenian
Representatives of the Delphic Amphictony,male,mature/old,power-holder,various
Mantitheus,male,mature,free,Athenian
Chremes,male,old,free,Athenian
Pheraulas,male,mature,free,Persian
Gobryas,male,old,free,Assyrian
Women,female,mature,free,Athenian
Phaedrus,male,mature,free,Athenian
Polemarchus,male,adolescent,free,Athenian
Sacian,male,adolescent,free,Sacian
Lampito,female,mature,free,Spartan
Judge (dikastes),male,mature/old,power-holder,Gortynian
Aegeus,male,mature,power-holder,Athenian
Philip,male,mature,power-holder,Macedonian
Derdas of Elimea,male,mature,power-holder,Macedonian
Boeotus,male,mature,free,Athenian
Pamphilus,male,mature,free,Athenian
Menexenus,male,child,free,Athenian
Lycurgus,male,mature/old,free,Athenian
Law-guardians,male,mature/old,power-holder,Magnesian
Artabazus,male,mature,free,Median
Silenus,male,old,chattel-slave,n/a
Thrasybulus,male,mature,power-holder,Athenian
Amedocus,male,mature/old,power-holder,Thracian
Seuthes,male,mature/old,power-holder,Thracian
Phaenippus,male,mature,free,Athenian
Speaker,male,mature,free,Athenian
Lygdamis,male,mature,power-holder,Halicarnassian
Apollodorus,male,mature,free,Athenian
Lycambes,male,mature/old,free,Parian
Archilochus,male,mature,free,Parian
Philip of Macedon's companions,male,adolescent/mature,free,Macedonian
Philoumenon,female,mature,free,unknown
The ten kings,male,mature/old,power-holder,Atlantean
Hypnos,male,n/a,n/a,n/a
Ponos,male,n/a,n/a,n/a
Simonides,male,old,free,Cean
Hiero,male,mature,power-holder,Syracusan
Antigone,female,adolescent,free,Theban
Clearchus,male,mature,power-holder,Spartan
Polynices,male,mature,free,Theban
Amphiaraus,male,mature,power-holder,Argive
Parthenopaeus,male,adolescent,free,Arcadian
Hippomedon,male,mature,power-holder,Argive
Capaneus,male,mature,power-holder,Argive
Eteoclus,male,mature,power-holder,Argive
Tydeus,male,mature,free,Aetolian
Envoys from Grabus of Illyria,male,mature/old,free,Illyrian
Ion,male,mature,free,Ephesian
Meletus,male,adolescent/mature,free,Athenian
Second Slave,male,mature,chattel-slave,n/a
First Slave,male,mature,chattel-slave,n/a
Those appointed to the boule,male,mature/old,free,Athenian
Persian people,male,any adult age,free,Persian
Araspas,male,adolescent,free,Median
Theodorus,male,old,free,Cyrenian
Myrrhine,female,mature,free,Athenian
Democleides,male,mature,power-holder,Athenian
Phormion,male,mature,power-holder,Athenian
Ch[- - -],male,mature,power-holder,Athenian
Pericles,male,mature,power-holder,Athenian
Glaucon,male,mature,power-holder,Athenian
Xenophon,male,mature,power-holder,Athenian
Tlepolemus,male,mature,power-holder,Athenian
Apaturius,male,mature,free,Athenian
Parmenon,male,mature,free,Byzantine
Envoys from the allies,male,mature/old,power-holder,various
Scrutineer (euthynos),male,mature/old,free,Athenian
Demarch,male,mature/old,power-holder,Athenian
Wealth,male,old,power-holder,n/a
Better Argument,male,n/a,n/a,n/a
Worse Argument,male,n/a,n/a,n/a
Kosmos,male,mature/old,power-holder,Drerian
Damioi,male,mature/old,power-holder,Drerian
The twenty of the polis,male,mature/old,power-holder,Drerian
Cebes,male,adolescent,free,Theban
Achilles,male,adolescent,power-holder,Phthian
Clytemnestra,female,mature,power-holder,Argive
Female chorus,n/a,adolescent,free,Chalcidician
Euphiletus' half-brother,male,mature,free,Athenian
Arbitrators,male,mature,free,Athenian
Representatives of the allies,male,mature/old,power-holder,various
Amasis,male,mature/old,power-holder,Egyptian
Pittacus,male,mature,free,Lesbian
Alcaeus,male,adolescent/mature,free,Lesbian
Alcaeus' companions,male,mature,free,Lesbian
Leochares,male,mature,free,Athenian
Theban,male,mature,free,Theban
Syracusans,male,any adult age,free,Syracusan
"Hermocrates, son of Hermon",male,mature/old,power-holder,Syracusan
"Heracleides, son of Lysimachus",male,mature/old,power-holder,Syracusan
Sicanus son of Execestus,male,mature/old,power-holder,Syracusan
Lycomedes of Mantinea,male,mature/old,power-holder,Mantinean
King of Cappadocia,male,mature,power-holder,Cappadocian
Phrygians,male,adolescent/mature,free,Phrygian
Paphlagonians,male,adolescent/mature,free,Paphlagonian
Cilicians,male,adolescent/mature,free,Cilician
King of Assyria,male,mature,power-holder,Assyrian
Lycaonians,male,adolescent/mature,free,Lycaonian
Arabians,male,adolescent/mature,free,Arabian
Phoenicians,male,adolescent/mature,free,Phoenician
Ionians,male,adolescent/mature,free,Ionian
Aeolians,male,adolescent/mature,free,Aeolian
Most Greeks in Asia,male,adolescent/mature,free,Greek
Temenus,male,mature,power-holder,Argive
Argives,male,any adult age,free,Argive
Demesmen,male,any adult age,free,Athenian
Delphians,male,any adult age,free,Delphian
Orestes,male,adolescent,power-holder,Argive
Antilochus,male,adolescent,power-holder,Pylian
Achaeans,male,mature,free,Achaean
Ambassador,male,mature,free,Athenian
Representatives of the Spartans and their allies,male,any adult age,free,various
Representatives of the Greeks in Thrace,male,mature/old,power-holder,various
Simon,male,mature,free,Athenian
Damostratus,male,mature/old,free,Athenian
Theodote,female,mature,free,Athenian
Lamprocles,male,adolescent,free,Athenian
An imaginary Athenian,male,any adult age,free,Athenian
An imaginary questioner,male,any adult age,free,unknown
Archebiades,male,mature,free,Athenian
Callippus,male,mature,free,Athenian
Euthycles,male,mature,free,Athenian
Berisades,male,mature,power-holder,Thracian
Amadocus,male,mature,power-holder,Thracian
Cersobleptes,male,mature,power-holder,Thracian
Friend,male,adolescent,free,Athenian
Cotys,male,mature/old,power-holder,Paphlagonian
Anytus,male,mature,free,Athenian
Magistrate,male,old,free,Athenian
Scythian archers,male,mature,chattel-slave,n/a
Jurors,male,mature/old,free,Aeginetan
Samian citizens,male,any adult age,free,Samian
Tereus,male,mature,power-holder,n/a
Phalanthus,male,mature,power-holder,Phoenician
Iphicles,male,mature,power-holder,Greek
Lachesis,female,mature,power-holder,n/a
Helios,male,mature,power-holder,n/a
Thersites,male,mature,free,Achaean
A Spartan youth,male,adolescent,free,Spartan
The other members of the sworn band,male,any adult age,free,Spartan
Accused men,male,any adult age,free,Milesian
Accused Women,female,any adult age,free,Milesian
Adeimantus,male,adolescent,free,Athenian
Jason of Pherae,male,mature,power-holder,Thessalian
Tribal judges,male,mature/old,free,Athenian
Prodicus,male,mature,free,Cean
Theodotus (the arbitrator),male,mature,free,Athenian
Chrysippus,male,mature,free,unknown
Neighbour,male,old,free,Athenian
First Creditor?,male,mature,free,Athenian
Armenian king,male,mature,power-holder,Armenian
Cyaxares,male,mature,power-holder,Median
Highest officials,male,adolescent/mature,power-holder,Spartan
Oath-commissioners,male,mature/old,power-holder,Athenian
Plathane,female,mature/old,free,n/a
Innkeeper,female,mature/old,free,n/a
Poet,male,mature,free,n/a
Cinesias,male,mature,free,Athenian
"""Home archai""",male,mature/old,power-holder,Athenian
Prytaneis,male,mature/old,free,Athenian
Inlaw (in female disguise),male,old,free,Athenian
Mica,female,mature,free,Athenian
Teisias' son,male,mature,free,Athenian
The speaker's mother,female,mature/old,free,Athenian
Hippolytus,male,adolescent,free,n/a
