agent,gender,age,status,origin
Pelopidas,male,mature,power-holder,Theban
Fishmonger,male,unknown,unknown,unknown
All the Theran men living in Cyrene,male,mature,free,Theran but to become Cyrenian
All the Theran women living in Cyrene,female,mature/old,free,Theran but to become Cyrenian
All the Theran boys,male,child,free,Theran but to become Cyrenian
All the Theran girls,female,child,free,Theran but to become Cyrenian
Man suggesting new strategos,male,any adult age,free,Magnesian
Artemisia,female,mature,power-holder,n/a
Kosmoi,male,mature,power-holder,Eltynian
Tarentines,male,any adult age,free,Tarentine
Supporters of Theocrines,male,any adult age,free,Athenian
"Dercylus, son of Autocles, of Hagnous",male,mature/old,free,Athenian
"Aristides, son of Euphiletus, of Cephisia",male,mature/old,free,Athenian
Envoys from Lyppeus,male,mature/old,power-holder,Paeonian
Defendant?,male,any adult age,free,Athenian
Menoceus,male,adolescent,free,Theban
Sositheus,male,mature,free,Athenian
Tithraustes,male,mature,power-holder,Persian
Hegesippus,male,old,free,Athenian
The ex-husband's master,male,any adult age,free,Gortynian
Representatives of the other islanders,male,mature/old,power-holder,various
Leotychides?,male,mature,power-holder,Spartan
Prisoners,male,adolescent/mature,free,Babylonian
Representatives of the Greeks except the Spartans,male,any adult age,free,various
Defendant(s),male,mature,free,Thasian or alien
Hermione,female,mature,free,Spartan
Leaders of the men of Phyle,male,mature/old,power-holder,Athenian
Leaders of their supporters from the Piraeus,male,mature/old,power-holder,Athenian
Leaders of the men of the city,male,mature/old,free,Athenian
Persian King,male,mature,power-holder,Persian
Unknown official(s),male,mature/old,free,Chian
Honorand(s),male,any adult age,free,Macedonian
Comrades,male,any adult age,free,Persian
Envoys from the other Boeotian poleis,male,mature/old,power-holder,Various Boeotian poleis
Scrutineers (euthynoi),male,mature/old,free,Athenian
Assessors (paredroi),male,mature/old,free,Athenian
Opuntian and Epicnemidian Locrian representatives,male,mature/old,power-holder,Locrian
Spartan polemarch,male,mature/old,power-holder,Spartan
Demeter,female,mature,power-holder,n/a
Metanira,female,mature,power-holder,n/a
Judge/Arbiter,male,mature/old,free,Eretrian
Manes,male,mature,chattel-slave,n/a
Leocrates,male,adolescent,free,Athenian
"Cimon, son of Stesagoras",male,mature,free,Athenian
Peisistratus,male,old,power-holder,Athenian
Samian people,male,any adult age,free,Samian
Messengers (angeloi) from Hermias and his hetairoi,male,mature,free,Atarnean
Generals?,male,mature/old,power-holder,Erythraean
Choregus,male,mature/old,free,Athenian
Prosecutors?,male,any adult age,free,Gortynian
Lysimachus,male,mature,free,Athenian
Seven conspirators,male,adolescent,free,Thessalian?
The new member of a sworn political group,male,any adult age,free,Athenian
The other members,male,any adult age,free,Athenian
Man searching premises,male,any adult age,free,n/a
Indian king,male,mature,power-holder,Indian
Babylonian king,male,mature,power-holder,Babylonian
Medes,male,mature,free,Median
Procuress,female,old,free,Greek
Clouds,female,n/a,power-holder,n/a
Aesius,male,mature,free,Athenian
[---] of Coile,male,mature,free,Athenian
"Sopolis, son of Kephisodoros, of Cydanthenaeon",male,mature,free,Athenian
[---] of Anaphlystus,male,mature,free,Athenian
[---] of Kephisia,male,mature,free,Athenian
Kings,male,any adult age,power-holder,Greek
Histiaeus,male,mature,power-holder,Milesian
Darius I,male,mature,power-holder,Persian
Representatives of Seuthes,male,mature/old,power-holder,Thracian
Prytanis,male,mature/old,power-holder,Athenian
Poverty,female,old,power-holder,n/a
Hieromnemon,male,mature/old,power-holder,Athenian
Chorus of maenads,female,mature,free,Asiatic
Dirce (river),female,n/a,n/a,n/a
Owner(s),male,any adult age,free,Halicarnassian
Adversary,male,any adult age,free,Halicarnassian
King(s),male,any adult age,power-holder,Spartan
Vinegar/Cheap wine,n/a,n/a,n/a,n/a
Pasimachus,male,mature,power-holder,Spartan
Prisoner of war,male,any adult age,semi-servile,Greek
Enemy captor,male,any adult age,power-holder,any
Automenes,male,mature,free,Athenian
Etymocles,male,mature/old,free,Spartan
One of the friends of Sphodrias,male,mature/old,free,Spartan
Ghost,male,n/a,unknown,n/a
Heroes,male,any adult age,free,Achaean
Comias (chorus-member),male,old,free,Athenian
Auditor (Euthynos),male,mature/old,power-holder,Athenian
Demarch of the following year,male,mature/old,power-holder,Athenian
Polydamas of Pharsalus,male,mature/old,free,Thessalian
Cephalus,male,old,free,Athenian
Athenian hoplites,male,adolescent/mature,free,Athenian
The [---]atidae,male,mature/old,free,Locrian?
Oath-officials,male,mature/old,power-holder,Locrian
Citizens during the oligarchy,male,any adult age,free,Thasian
Neocleides,male,mature,free,Athenian
Athenian assembly,male,any adult age,free,Athenian
